user_id,ab_version,tab_switches,button_clicks,guided_clicks,scroll_count,total_tab_duration_sec,avg_tab_duration_sec,session_duration_sec,unique_tabs_visited,reached_cleaning,reached_feature_eng,reached_eda,workflow_depth,linear_path_score,bounced,completed_full_workflow,completed_two_or_more
user_A_01,A,4,9,0,1,107,26.8,124,3,0,0,1,1,2,0,0,0
user_A_02,A,3,12,0,0,17,5.7,115,3,1,0,0,1,2,0,0,0
user_A_03,A,4,10,0,2,93,23.2,150,2,0,1,0,1,2,0,0,0
user_A_04,A,4,13,0,1,51,12.8,30,4,1,1,1,3,2,0,1,1
user_A_05,A,5,7,0,0,84,16.8,229,5,1,1,0,2,2,0,0,1
user_A_06,A,9,8,0,0,266,29.6,128,5,1,0,1,2,2,0,0,1
user_A_07,A,10,7,0,0,265,26.5,195,6,1,1,1,3,3,0,1,1
user_A_08,A,4,8,0,0,82,20.5,121,5,1,1,0,2,3,0,0,1
user_A_09,A,4,11,0,1,114,28.5,97,4,0,1,1,2,3,0,0,1
user_A_10,A,6,6,0,2,134,22.3,30,5,1,1,1,3,2,0,1,1
user_A_11,A,3,9,0,4,115,38.3,76,3,1,0,0,1,2,0,0,0
user_A_12,A,3,7,0,2,68,22.7,216,4,1,0,1,2,3,0,0,1
user_A_13,A,3,6,0,2,61,20.3,92,3,0,0,0,0,1,0,0,0
user_A_14,A,6,9,0,1,145,24.2,179,5,1,1,1,3,2,0,1,1
user_A_15,A,8,10,0,1,196,24.5,165,4,1,1,0,2,2,0,0,1
user_A_16,A,4,9,0,1,171,42.8,108,4,1,1,1,3,4,0,1,1
user_A_17,A,5,12,0,1,49,9.8,200,5,1,0,1,2,3,0,0,1
user_A_18,A,3,15,0,1,95,31.7,100,3,0,1,0,1,2,0,0,0
user_A_19,A,4,9,0,3,110,27.5,146,4,1,0,1,2,3,0,0,1
user_A_20,A,3,13,0,0,52,17.3,320,4,0,1,1,2,3,0,0,1
user_A_21,A,5,11,0,0,149,29.8,137,4,0,1,1,2,2,0,0,1
user_A_22,A,1,10,0,1,20,20.0,80,2,0,0,1,1,2,0,0,0
user_A_23,A,4,6,0,0,85,21.2,162,3,1,0,1,2,3,0,0,1
user_A_24,A,7,10,0,3,199,28.4,124,4,1,0,0,1,2,0,0,0
user_A_25,A,4,10,0,2,74,18.5,252,4,0,0,1,1,2,0,0,0
user_A_26,A,4,4,0,0,50,12.5,238,3,1,0,1,2,3,0,0,1
user_A_27,A,8,10,0,0,120,15.0,185,5,1,0,1,2,3,0,0,1
user_A_28,A,4,9,0,1,90,22.5,72,5,1,1,1,3,3,0,1,1
user_A_29,A,6,10,0,1,53,8.8,64,4,1,0,0,1,2,0,0,0
user_A_30,A,11,7,0,0,275,25.0,271,6,1,1,1,3,3,0,1,1
user_A_31,A,6,8,0,1,134,22.3,181,5,1,1,0,2,2,0,0,1
user_A_32,A,5,8,0,0,138,27.6,143,4,1,0,0,1,2,0,0,0
user_A_33,A,6,10,0,3,154,25.7,102,3,0,1,1,2,2,0,0,1
user_A_34,A,5,5,0,1,118,23.6,182,4,1,0,1,2,3,0,0,1
user_A_35,A,4,6,0,3,153,38.2,59,4,1,1,0,2,2,0,0,1
user_A_36,A,6,12,0,2,173,28.8,157,4,1,1,1,3,4,0,1,1
user_A_37,A,5,3,0,3,81,16.2,213,3,1,0,0,1,2,0,0,0
user_B_01,B,7,10,4,0,227,32.4,141,4,1,1,1,3,4,0,1,1
user_B_02,B,7,5,3,3,284,40.6,88,4,1,1,1,3,4,0,1,1
user_B_03,B,5,7,5,1,239,47.8,125,4,1,1,1,3,4,0,1,1
user_B_04,B,4,11,4,1,122,30.5,63,4,1,1,1,3,4,0,1,1
user_B_05,B,3,12,3,1,143,47.7,127,4,1,1,1,3,4,0,1,1
user_B_06,B,2,12,2,0,42,21.0,243,3,1,1,0,2,3,0,0,1
user_B_07,B,4,9,6,0,54,13.5,211,4,1,1,1,3,4,0,1,1
user_B_08,B,7,8,5,1,198,28.3,40,4,1,1,1,3,4,0,1,1
user_B_09,B,8,7,1,1,224,28.0,86,4,1,1,1,3,4,0,1,1
user_B_10,B,7,5,5,1,263,37.6,151,4,1,1,1,3,4,0,1,1
user_B_11,B,5,6,2,2,89,17.8,329,4,1,1,1,3,3,0,1,1
user_B_12,B,7,7,0,1,128,18.3,173,4,1,1,1,3,2,0,1,1
user_B_13,B,5,5,8,2,175,35.0,164,4,1,1,1,3,4,0,1,1
user_B_14,B,5,3,1,1,261,52.2,107,4,1,1,1,3,4,0,1,1
user_B_15,B,2,11,5,0,38,19.0,150,3,1,1,0,2,3,0,0,1
user_B_16,B,6,7,4,0,221,36.8,185,4,1,1,1,3,4,0,1,1
user_B_17,B,2,6,7,1,54,27.0,173,3,1,1,0,2,3,0,0,1
user_B_18,B,4,3,1,5,41,10.2,267,4,1,1,1,3,4,0,1,1
user_B_19,B,3,5,0,0,97,32.3,162,4,1,1,1,3,4,0,1,1
user_B_20,B,7,9,3,0,251,35.9,271,4,1,1,1,3,4,0,1,1
user_B_21,B,3,4,2,1,235,78.3,155,4,1,1,1,3,4,0,1,1
user_B_22,B,3,10,4,4,308,102.7,164,3,1,1,0,2,2,0,0,1
user_B_23,B,4,7,2,3,92,23.0,158,4,1,1,1,3,4,0,1,1
user_B_24,B,4,12,3,1,121,30.2,113,4,1,1,1,3,4,0,1,1
user_B_25,B,4,8,2,1,117,29.2,202,4,1,1,1,3,4,0,1,1
user_B_26,B,1,6,5,2,35,35.0,338,2,1,0,0,1,2,0,0,0
user_B_27,B,4,7,3,0,206,51.5,241,3,1,1,0,2,2,0,0,1
user_B_28,B,6,12,3,1,95,15.8,205,4,1,1,1,3,4,0,1,1
user_B_29,B,6,6,4,1,376,62.7,178,4,1,1,1,3,4,0,1,1
user_B_30,B,2,3,9,0,35,17.5,200,3,1,1,0,2,3,0,0,1
